technical_knowledge,problem_solving,logical_thinking,programming_coding,communication,job_readiness
4.82,3.24,3.59,2.98,0.75,Not Ready
7.47,4.94,5.1,4.88,6.11,Needs Improvement
7.22,7.57,7.14,6.75,7.74,Job Ready
8.23,6.5,7.66,5.31,6.35,Job Ready
8.07,8.91,8.66,8.37,8.49,Highly Job Ready
5.83,6.09,6.33,5.67,5.69,Needs Improvement
6.41,5.87,8.01,6.84,7.58,Job Ready
8.97,9.67,8.03,8.58,9.23,Highly Job Ready
9.29,9.66,8.68,8.13,8.79,Highly Job Ready
6.29,6.26,6.47,4.84,5.38,Needs Improvement
6.68,6.96,6.28,8.99,7.22,Job Ready
3.83,3.55,4.19,3.79,2.13,Not Ready
5.0,6.02,4.9,5.58,6.53,Needs Improvement
8.71,9.31,8.69,9.08,7.82,Highly Job Ready
4.44,3.85,2.87,3.88,3.77,Not Ready
6.78,5.75,5.77,5.25,5.91,Needs Improvement
9.09,9.19,8.79,8.62,8.1,Highly Job Ready
6.02,6.95,7.34,6.54,6.07,Needs Improvement
8.16,8.21,7.85,6.06,6.58,Job Ready
6.69,6.63,8.32,8.05,7.81,Job Ready
5.28,3.87,3.84,3.7,3.8,Not Ready
7.43,6.82,7.97,7.14,6.46,Job Ready
8.47,6.96,7.12,8.21,5.76,Job Ready
7.24,7.8,5.8,5.94,7.72,Job Ready
5.54,4.53,3.0,2.63,3.84,Not Ready
2.62,4.01,4.05,5.36,4.76,Not Ready
3.69,5.1,1.18,2.08,2.74,Not Ready
6.97,5.59,6.75,5.14,4.39,Needs Improvement
6.16,6.62,6.48,6.36,5.71,Needs Improvement
7.35,9.42,6.99,8.98,7.17,Job Ready
3.39,4.72,5.78,2.21,4.25,Not Ready
9.52,8.41,9.17,9.0,7.89,Highly Job Ready
8.53,9.17,7.92,8.36,8.87,Highly Job Ready
9.07,8.92,10.0,9.09,9.55,Highly Job Ready
9.02,8.43,8.42,7.69,7.78,Highly Job Ready
8.42,9.35,8.84,9.79,8.05,Highly Job Ready
7.43,7.98,7.31,10.0,7.43,Job Ready
1.55,1.53,4.11,3.79,4.0,Not Ready
8.88,8.39,9.62,9.79,9.7,Highly Job Ready
9.89,9.26,9.03,7.59,8.9,Highly Job Ready
6.5,7.31,7.31,6.14,6.84,Job Ready
8.68,7.23,7.34,8.45,7.86,Job Ready
6.06,6.32,6.55,7.65,7.49,Job Ready
8.22,6.65,7.22,6.25,8.62,Job Ready
8.73,9.76,8.82,8.0,8.02,Highly Job Ready
6.07,6.36,5.86,5.16,5.55,Needs Improvement
1.38,4.68,5.2,4.54,2.79,Not Ready
2.89,4.31,4.4,4.12,2.18,Not Ready
2.63,4.16,4.76,6.1,7.15,Not Ready
7.14,7.59,6.93,7.51,7.47,Job Ready
5.65,7.09,7.19,5.02,5.76,Needs Improvement
8.11,8.71,8.93,8.47,10.0,Highly Job Ready
4.24,2.92,2.52,5.17,4.1,Not Ready
4.45,5.02,5.88,4.68,5.69,Needs Improvement
3.88,4.43,4.83,1.5,1.87,Not Ready
5.75,7.08,7.51,6.23,5.44,Needs Improvement
6.12,5.98,6.45,6.32,6.03,Needs Improvement
5.1,3.67,2.83,2.85,4.55,Not Ready
5.69,7.23,6.72,5.5,5.8,Needs Improvement
7.42,10.0,8.2,7.58,6.56,Job Ready
2.07,2.62,3.18,5.21,3.06,Not Ready
3.05,1.33,3.61,2.58,3.19,Not Ready
8.51,8.74,7.99,8.69,7.83,Highly Job Ready
3.38,2.72,3.28,4.32,2.0,Not Ready
2.91,3.14,4.16,3.23,4.83,Not Ready
7.83,7.67,8.3,5.8,8.31,Job Ready
5.56,4.96,3.5,4.66,6.02,Not Ready
3.73,2.57,4.32,5.46,3.71,Not Ready
8.13,8.97,7.92,8.5,8.28,Highly Job Ready
8.84,7.0,7.07,8.52,7.86,Job Ready
5.04,4.85,4.81,5.21,4.82,Needs Improvement
8.45,7.74,9.38,8.33,9.51,Highly Job Ready
9.19,8.63,8.69,7.7,8.09,Highly Job Ready
7.25,7.38,9.97,10.0,8.86,Highly Job Ready
5.15,5.79,6.68,5.07,7.37,Needs Improvement
2.43,3.38,3.51,2.07,2.67,Not Ready
7.16,5.88,4.22,4.05,6.04,Needs Improvement
9.09,10.0,9.01,7.95,8.67,Highly Job Ready
5.91,5.42,5.54,5.78,5.18,Needs Improvement
8.97,9.03,8.67,8.34,8.58,Highly Job Ready
5.26,5.2,6.8,6.16,3.86,Needs Improvement
7.32,6.63,7.38,6.48,5.89,Job Ready
7.94,7.56,7.24,6.77,7.36,Job Ready
8.21,7.94,8.21,7.82,7.48,Job Ready
5.79,2.04,4.79,3.42,3.73,Not Ready
8.96,7.25,6.85,6.52,8.13,Job Ready
4.16,2.84,1.97,1.42,2.52,Not Ready
5.82,5.77,4.01,5.42,5.85,Needs Improvement
5.16,3.43,3.57,3.23,3.13,Not Ready
7.73,8.44,6.27,7.19,7.47,Job Ready
3.43,3.42,3.63,3.15,3.29,Not Ready
6.95,5.72,7.89,8.79,8.26,Job Ready
7.92,8.12,8.53,7.78,7.27,Job Ready
6.37,5.99,6.01,5.73,6.41,Needs Improvement
9.29,8.69,8.04,10.0,8.79,Highly Job Ready
4.24,4.44,4.14,6.14,3.7,Not Ready
4.85,2.27,3.84,3.24,3.42,Not Ready
3.19,3.33,5.37,2.6,1.03,Not Ready
4.19,4.16,4.27,4.51,1.38,Not Ready
3.53,3.49,4.07,3.16,4.34,Not Ready
5.45,4.94,5.64,7.55,4.6,Needs Improvement
1.17,4.15,3.88,4.28,5.66,Not Ready
7.9,8.01,8.81,9.58,8.41,Highly Job Ready
8.16,9.5,8.52,8.78,9.17,Highly Job Ready
5.13,5.45,4.41,5.37,1.64,Not Ready
3.25,4.71,5.52,3.27,3.31,Not Ready
4.5,5.35,3.76,6.03,5.32,Needs Improvement
6.11,5.56,5.46,4.5,5.03,Needs Improvement
1.85,3.78,2.76,3.41,3.71,Not Ready
3.59,4.03,4.74,3.35,4.4,Not Ready
7.8,9.22,8.63,9.1,8.95,Highly Job Ready
8.47,8.65,7.23,8.6,8.86,Highly Job Ready
5.63,6.18,3.08,6.09,5.69,Needs Improvement
9.53,8.78,8.0,8.42,7.62,Highly Job Ready
5.9,4.16,5.75,6.07,6.72,Needs Improvement
3.83,3.84,3.66,5.2,0.73,Not Ready
5.27,2.65,5.74,3.19,5.0,Not Ready
4.36,2.56,2.32,5.62,2.74,Not Ready
7.11,9.22,8.44,9.09,8.79,Highly Job Ready
5.38,4.3,4.98,7.02,5.87,Needs Improvement
7.85,6.84,6.41,7.1,8.24,Job Ready
3.6,2.9,4.29,2.82,4.57,Not Ready
8.88,7.51,9.63,9.07,8.02,Highly Job Ready
6.05,4.65,6.21,8.3,7.08,Needs Improvement
7.2,7.93,8.7,8.13,5.47,Job Ready
2.0,3.46,3.91,3.7,4.71,Not Ready
2.82,2.56,3.46,2.4,4.19,Not Ready
3.81,5.33,4.79,4.77,4.44,Not Ready
7.71,7.46,9.47,8.68,7.96,Highly Job Ready
8.43,5.73,7.03,6.28,8.75,Job Ready
6.61,7.27,6.03,5.52,6.52,Needs Improvement
8.13,8.57,9.39,8.72,8.48,Highly Job Ready
8.95,8.58,9.34,7.98,8.31,Highly Job Ready
9.61,8.7,8.01,9.67,8.77,Highly Job Ready
6.05,5.51,5.3,5.57,6.89,Needs Improvement
7.59,7.12,6.14,5.78,6.6,Needs Improvement
2.33,3.91,2.39,1.29,3.36,Not Ready
1.96,2.92,3.97,4.22,4.28,Not Ready
8.59,8.38,7.83,9.81,9.07,Highly Job Ready
5.94,4.34,4.56,6.92,3.55,Not Ready
6.31,6.35,7.95,7.51,7.82,Job Ready
6.1,2.45,2.84,4.07,5.65,Not Ready
9.14,9.0,9.15,8.93,9.35,Highly Job Ready
4.58,5.83,5.53,6.09,5.92,Needs Improvement
3.88,3.33,1.72,3.6,2.01,Not Ready
7.36,8.31,8.26,6.94,7.77,Job Ready
9.62,9.5,8.69,7.41,8.7,Highly Job Ready
4.2,3.33,3.47,4.01,4.51,Not Ready
2.76,4.87,4.24,3.62,3.75,Not Ready
7.29,6.27,7.16,6.5,7.06,Job Ready
8.75,9.56,8.74,7.79,9.78,Highly Job Ready
5.21,2.87,2.2,4.88,4.37,Not Ready
6.41,7.75,5.87,5.74,6.09,Needs Improvement
8.68,9.36,10.0,9.07,8.32,Highly Job Ready
8.5,9.27,8.17,8.03,10.0,Highly Job Ready
4.15,2.6,4.66,4.88,1.56,Not Ready
7.95,6.56,6.89,7.3,7.4,Job Ready
6.5,6.86,6.26,7.45,7.66,Job Ready
7.41,7.62,7.81,6.28,7.24,Job Ready
7.18,7.44,8.06,6.05,7.93,Job Ready
2.1,1.12,3.02,4.66,3.47,Not Ready
7.82,7.44,8.35,7.22,7.33,Job Ready
6.01,6.11,7.58,5.16,5.73,Needs Improvement
8.77,9.23,9.34,8.87,9.42,Highly Job Ready
8.04,5.95,6.84,9.04,6.77,Job Ready
6.36,5.1,4.51,5.47,5.89,Needs Improvement
8.26,8.86,8.01,8.83,8.71,Highly Job Ready
8.22,6.49,7.32,6.13,7.15,Job Ready
8.46,9.35,9.5,8.46,8.32,Highly Job Ready
6.57,6.94,7.75,6.35,7.21,Job Ready
3.82,2.89,3.95,3.72,2.27,Not Ready
8.95,8.94,9.23,8.96,8.32,Highly Job Ready
8.16,6.94,6.37,7.26,7.4,Job Ready
6.63,8.77,6.17,8.67,6.44,Job Ready
2.68,2.78,5.34,3.58,5.41,Not Ready
7.68,5.84,5.86,5.45,6.85,Needs Improvement
8.23,8.08,7.62,8.38,5.31,Job Ready
6.77,5.07,6.13,5.73,4.8,Needs Improvement
5.15,4.3,5.81,4.3,4.75,Not Ready
6.08,6.86,5.36,6.62,5.16,Needs Improvement
6.76,8.89,7.26,8.8,6.11,Job Ready
3.89,5.1,3.38,4.2,2.66,Not Ready
5.48,4.12,4.68,2.49,2.51,Not Ready
7.3,6.17,7.92,7.25,8.29,Job Ready
3.98,3.56,4.58,3.37,4.07,Not Ready
8.35,6.17,7.78,8.18,7.14,Job Ready
8.04,4.64,7.63,9.48,6.02,Job Ready
8.86,8.27,8.5,9.21,8.14,Highly Job Ready
7.46,7.62,6.76,6.76,8.34,Job Ready
7.59,8.86,8.28,8.68,7.7,Highly Job Ready
7.63,6.61,9.06,6.81,8.62,Job Ready
4.05,4.8,4.06,4.58,3.88,Not Ready
3.09,1.98,2.94,3.74,5.14,Not Ready
5.97,6.13,5.65,6.18,5.55,Needs Improvement
3.83,3.11,5.66,4.22,3.55,Not Ready
7.16,5.67,6.51,5.09,5.64,Needs Improvement
1.73,2.94,2.75,2.8,6.1,Not Ready
6.8,6.06,4.04,4.88,6.34,Needs Improvement
4.75,5.76,5.86,6.6,7.55,Needs Improvement
7.56,7.51,8.8,8.86,9.06,Highly Job Ready
7.54,6.76,7.36,6.89,8.67,Job Ready
3.24,2.78,0.62,3.3,4.22,Not Ready
8.31,7.6,7.1,7.85,7.31,Job Ready
9.7,9.59,9.55,9.1,8.57,Highly Job Ready
6.8,7.06,7.29,7.71,8.52,Job Ready
4.16,2.85,6.5,5.71,6.88,Needs Improvement
6.67,7.25,6.14,6.66,5.51,Needs Improvement
5.05,5.14,5.64,4.79,4.63,Needs Improvement
8.48,8.65,8.7,9.64,10.0,Highly Job Ready
3.86,6.87,5.72,5.34,5.27,Needs Improvement
6.13,5.58,7.62,4.94,5.8,Needs Improvement
6.71,6.27,5.94,6.17,4.98,Needs Improvement
7.76,6.45,6.09,7.14,7.65,Job Ready
6.83,6.5,6.05,5.89,5.57,Needs Improvement
5.3,8.76,7.11,7.69,8.54,Job Ready
5.85,7.1,7.98,6.98,7.11,Job Ready
7.47,5.85,6.84,8.28,6.16,Job Ready
6.56,6.75,7.72,6.77,5.5,Job Ready
4.55,2.55,5.42,4.98,4.13,Not Ready
5.53,5.57,6.26,4.77,4.25,Needs Improvement
8.8,9.0,7.7,8.68,8.6,Highly Job Ready
5.19,5.08,1.97,4.15,4.97,Not Ready
5.1,3.89,4.83,6.94,6.18,Needs Improvement
5.57,5.5,5.18,6.01,6.18,Needs Improvement
7.67,4.81,6.38,5.15,5.88,Needs Improvement
7.14,9.1,8.48,5.82,6.73,Job Ready
5.49,5.61,7.74,4.13,5.58,Needs Improvement
9.29,8.63,8.69,9.01,8.26,Highly Job Ready
6.69,8.45,8.53,7.94,6.47,Job Ready
8.36,9.66,9.34,8.63,9.69,Highly Job Ready
5.31,6.36,7.95,5.98,7.02,Job Ready
8.8,8.7,9.18,8.15,7.96,Highly Job Ready
6.82,7.71,7.03,6.75,7.34,Job Ready
9.19,8.29,8.04,8.81,9.16,Highly Job Ready
7.41,9.72,9.04,8.78,7.38,Highly Job Ready
7.33,8.02,5.65,6.98,8.16,Job Ready
6.49,5.96,4.48,5.62,4.38,Needs Improvement
3.96,4.67,4.06,4.41,2.99,Not Ready
8.32,8.32,6.42,7.71,6.78,Job Ready
5.59,5.65,5.65,7.15,4.64,Needs Improvement
8.56,8.12,6.34,8.36,7.08,Job Ready
3.23,5.21,5.3,4.83,5.96,Needs Improvement
8.44,8.08,8.53,8.82,8.95,Highly Job Ready
3.26,4.1,3.86,3.46,3.68,Not Ready
1.84,1.94,4.35,3.2,0.85,Not Ready
7.06,8.27,7.81,7.32,6.45,Job Ready
6.64,7.04,6.56,7.56,5.05,Needs Improvement
8.99,8.56,8.95,9.58,8.76,Highly Job Ready
5.22,6.87,6.73,5.13,5.1,Needs Improvement
6.38,6.17,7.98,7.55,7.37,Job Ready
5.6,7.49,5.6,4.09,7.6,Needs Improvement
9.74,9.75,7.58,9.16,8.72,Highly Job Ready
4.85,2.23,3.58,2.86,3.93,Not Ready
1.82,3.34,2.81,5.29,2.25,Not Ready
7.45,6.09,7.02,7.23,6.87,Job Ready
6.08,5.09,7.5,6.64,5.16,Needs Improvement
5.66,9.08,6.07,5.44,7.15,Needs Improvement
9.06,8.97,8.88,9.93,7.87,Highly Job Ready
0.99,4.38,3.0,3.85,3.7,Not Ready
8.47,7.21,5.49,7.35,7.47,Job Ready
8.29,8.72,7.34,8.86,7.05,Job Ready
9.28,9.17,7.88,8.07,7.15,Highly Job Ready
5.9,4.76,6.11,7.33,5.33,Needs Improvement
2.67,2.14,3.73,3.9,3.0,Not Ready
8.04,5.75,6.02,6.67,7.19,Job Ready
5.78,3.59,3.36,5.48,2.53,Not Ready
7.39,6.48,4.67,6.27,6.61,Needs Improvement
3.65,4.2,6.04,6.19,3.88,Not Ready
8.69,8.74,8.82,9.54,8.31,Highly Job Ready
7.72,7.38,6.75,8.03,5.43,Job Ready
3.71,4.36,5.67,5.35,4.54,Needs Improvement
7.72,6.91,6.27,8.77,8.61,Job Ready
9.14,8.24,8.43,8.26,8.22,Highly Job Ready
7.71,7.99,8.56,7.62,8.09,Job Ready
7.57,7.4,7.45,8.41,6.79,Job Ready
8.92,9.45,7.5,8.48,7.58,Highly Job Ready
9.09,9.28,7.61,7.64,8.75,Highly Job Ready
6.34,3.66,1.28,3.17,5.22,Not Ready
3.18,1.99,2.21,3.19,2.36,Not Ready
5.74,6.04,7.86,4.94,8.34,Job Ready
4.28,2.66,1.35,4.11,2.87,Not Ready
6.13,7.96,7.9,8.84,6.72,Job Ready
8.22,7.04,6.41,7.36,7.7,Job Ready
9.75,9.1,8.31,8.9,8.26,Highly Job Ready
6.87,5.49,4.8,6.11,5.49,Needs Improvement
4.22,7.46,4.78,2.99,4.91,Not Ready
7.41,8.33,6.79,7.95,7.34,Job Ready
7.78,7.16,6.89,7.45,6.88,Job Ready
6.33,7.66,8.26,7.23,7.13,Job Ready
8.39,9.08,8.09,9.21,9.7,Highly Job Ready
6.41,5.1,6.1,5.58,6.28,Needs Improvement
3.9,4.95,3.1,1.68,1.6,Not Ready
6.15,4.86,6.81,4.38,7.32,Needs Improvement
7.98,8.92,6.7,6.46,6.69,Job Ready
7.25,6.04,8.67,7.45,6.53,Job Ready
3.2,4.12,7.15,5.42,5.09,Needs Improvement
5.53,5.2,5.63,6.52,5.58,Needs Improvement
6.76,4.51,6.82,5.41,4.82,Needs Improvement
2.48,1.61,3.67,2.65,3.7,Not Ready
5.81,6.18,5.39,6.1,5.64,Needs Improvement
9.17,8.27,7.94,8.14,8.98,Highly Job Ready
8.43,9.83,8.05,9.26,10.0,Highly Job Ready
7.06,5.99,6.29,6.86,7.25,Job Ready
5.72,8.39,7.0,7.75,7.83,Job Ready
7.82,7.44,5.9,7.6,7.25,Job Ready
9.22,8.12,9.24,9.1,9.78,Highly Job Ready
3.37,5.38,6.33,5.94,6.06,Needs Improvement
7.25,8.05,6.85,8.01,7.17,Job Ready
8.68,9.02,6.61,7.75,7.77,Job Ready
1.86,2.85,4.08,3.59,3.51,Not Ready
8.43,9.47,9.76,8.34,8.33,Highly Job Ready
5.64,6.84,6.35,6.5,5.17,Needs Improvement
5.62,8.09,6.64,7.27,6.09,Job Ready
7.45,9.38,7.45,7.32,6.21,Job Ready
5.07,5.57,4.52,6.19,6.36,Needs Improvement
5.8,5.06,6.65,6.57,5.75,Needs Improvement
8.02,6.71,7.97,8.0,8.2,Job Ready
8.05,6.97,7.04,8.47,7.0,Job Ready
9.97,8.7,8.44,9.94,8.42,Highly Job Ready
7.01,8.2,6.35,6.72,7.62,Job Ready
6.9,6.53,4.45,5.14,4.85,Needs Improvement
8.26,8.61,9.37,8.47,8.95,Highly Job Ready
5.55,5.39,6.26,4.06,5.05,Needs Improvement
6.26,6.3,6.34,3.96,4.51,Needs Improvement
7.73,4.83,5.99,5.04,5.28,Needs Improvement
4.28,2.55,4.53,4.84,3.95,Not Ready
2.93,3.16,3.77,2.0,4.06,Not Ready
6.48,3.56,1.5,5.64,3.27,Not Ready
9.35,8.15,9.3,8.38,9.1,Highly Job Ready
3.91,2.92,3.9,2.89,2.54,Not Ready
4.69,1.62,4.05,5.61,4.36,Not Ready
4.06,4.89,2.52,2.45,2.54,Not Ready
7.62,7.93,6.83,6.93,7.76,Job Ready
8.67,6.95,8.59,7.92,8.94,Highly Job Ready
7.9,5.94,5.96,7.02,7.15,Job Ready
6.39,8.45,6.68,7.7,6.59,Job Ready
6.1,5.05,5.68,5.22,7.98,Needs Improvement
2.59,3.42,5.3,4.47,5.79,Not Ready
7.12,6.74,7.01,8.77,7.86,Job Ready
6.13,6.12,5.45,5.23,3.72,Needs Improvement
8.23,7.48,8.36,8.26,7.31,Job Ready
8.6,10.0,7.8,9.42,8.24,Highly Job Ready
3.03,5.5,3.18,4.33,1.65,Not Ready
5.3,4.05,3.33,5.07,4.29,Not Ready
7.63,8.12,7.46,8.22,9.78,Highly Job Ready
5.32,6.42,5.63,5.93,6.83,Needs Improvement
8.01,8.61,7.15,9.07,7.58,Highly Job Ready
7.85,7.24,7.79,7.14,6.63,Job Ready
5.47,6.01,7.31,5.64,6.92,Needs Improvement
8.32,8.91,8.81,8.65,9.47,Highly Job Ready
6.48,5.72,3.96,4.54,7.02,Needs Improvement
5.38,3.24,6.38,3.8,4.27,Not Ready
6.63,5.46,6.11,6.92,7.6,Needs Improvement
5.22,3.82,5.07,4.12,4.33,Not Ready
5.22,6.39,5.53,4.88,5.54,Needs Improvement
5.5,5.09,5.59,6.09,6.73,Needs Improvement
9.95,7.87,9.69,8.16,8.43,Highly Job Ready
9.06,7.7,8.9,8.0,8.25,Highly Job Ready
4.32,7.38,5.71,5.18,5.54,Needs Improvement
2.14,5.78,4.11,4.24,3.44,Not Ready
7.08,5.3,7.12,6.84,7.97,Job Ready
5.72,6.76,5.51,5.6,4.87,Needs Improvement
8.39,8.91,7.96,8.13,8.83,Highly Job Ready
5.36,4.75,6.02,5.3,5.35,Needs Improvement
2.13,3.72,4.1,2.77,4.02,Not Ready
4.69,3.69,3.26,3.08,4.34,Not Ready
9.19,9.54,10.0,8.5,8.53,Highly Job Ready
6.62,6.66,6.4,5.1,5.82,Needs Improvement
4.64,7.23,6.18,5.08,5.64,Needs Improvement
8.37,8.34,9.11,8.78,8.54,Highly Job Ready
2.1,5.03,3.42,5.08,4.24,Not Ready
5.83,4.99,4.8,5.09,6.01,Needs Improvement
7.95,8.79,8.1,8.54,9.4,Highly Job Ready
8.87,9.5,8.76,8.84,9.13,Highly Job Ready
6.91,6.68,6.22,6.68,6.51,Needs Improvement
4.74,2.99,4.68,2.92,5.05,Not Ready
6.97,6.54,7.92,6.3,7.74,Job Ready
7.2,7.73,7.09,6.85,6.74,Job Ready
3.07,3.48,5.52,2.8,4.91,Not Ready
4.0,3.16,3.84,3.51,2.9,Not Ready
3.55,3.56,4.25,5.41,4.01,Not Ready
7.63,7.64,7.56,8.73,8.24,Job Ready
7.41,6.53,7.96,6.07,8.36,Job Ready
7.83,10.0,9.05,8.59,9.42,Highly Job Ready
4.3,6.47,7.64,6.49,7.19,Needs Improvement
9.72,8.83,9.51,8.35,9.71,Highly Job Ready
9.06,8.36,8.69,10.0,8.96,Highly Job Ready
5.49,5.4,6.73,5.29,5.76,Needs Improvement
6.73,4.15,6.86,7.24,5.45,Needs Improvement
3.66,4.95,5.02,4.98,3.84,Not Ready
6.29,6.04,5.31,6.52,6.17,Needs Improvement
9.26,8.53,9.14,8.27,9.29,Highly Job Ready
4.09,2.27,3.77,6.1,4.75,Not Ready
1.94,4.94,4.22,2.97,3.48,Not Ready
8.89,10.0,8.17,8.33,8.79,Highly Job Ready
8.1,7.36,6.3,6.79,7.11,Job Ready
6.16,5.02,4.88,7.0,7.1,Needs Improvement
6.14,8.55,6.64,8.56,7.75,Job Ready
7.33,7.65,7.36,8.02,6.72,Job Ready
4.49,5.72,6.08,7.56,5.88,Needs Improvement
9.23,8.79,8.98,8.7,8.64,Highly Job Ready
3.31,5.01,5.95,5.71,6.18,Needs Improvement
7.31,8.03,7.22,8.84,7.17,Job Ready
6.47,8.17,6.02,8.2,7.16,Job Ready
8.44,8.74,6.43,6.89,6.42,Job Ready
8.17,7.73,8.97,8.47,9.99,Highly Job Ready
4.95,4.86,5.61,6.59,4.54,Needs Improvement
4.3,4.07,3.12,2.14,3.88,Not Ready
4.73,3.91,1.0,2.67,4.59,Not Ready
9.06,8.56,6.02,6.84,7.66,Job Ready
7.29,5.82,7.69,6.92,8.37,Job Ready
9.31,9.25,8.3,8.21,9.23,Highly Job Ready
2.5,3.23,3.96,1.13,4.07,Not Ready
4.49,4.18,2.87,4.58,2.94,Not Ready
5.5,5.09,3.35,2.78,4.71,Not Ready
3.33,2.19,2.02,4.55,3.48,Not Ready
7.34,6.14,6.24,6.55,4.61,Needs Improvement
7.28,6.4,5.53,7.18,8.53,Job Ready
8.11,8.94,8.8,8.25,9.03,Highly Job Ready
7.28,7.07,6.97,7.36,7.33,Job Ready
9.39,7.74,8.28,8.8,9.09,Highly Job Ready
3.27,3.46,6.03,5.07,2.69,Not Ready
7.3,6.6,7.62,5.76,5.49,Job Ready
6.82,7.55,8.14,6.6,7.3,Job Ready
7.77,7.16,6.4,7.18,6.47,Job Ready
9.4,7.52,8.64,8.49,9.42,Highly Job Ready
5.98,7.85,7.88,8.2,6.93,Job Ready
5.33,6.64,6.73,7.04,6.63,Needs Improvement
8.68,8.55,8.73,8.14,7.6,Highly Job Ready
6.36,5.99,4.17,7.61,4.43,Needs Improvement
1.75,3.9,3.16,2.33,5.73,Not Ready
7.6,6.79,7.8,7.91,6.65,Job Ready
8.31,8.26,8.85,8.67,8.71,Highly Job Ready
9.39,9.32,9.0,9.27,9.69,Highly Job Ready
5.75,7.04,3.93,5.75,5.76,Needs Improvement
5.27,4.46,6.77,5.29,5.41,Needs Improvement
5.51,6.22,5.74,5.81,6.42,Needs Improvement
6.86,6.56,7.43,7.72,8.7,Job Ready
6.56,7.26,5.51,6.84,7.09,Job Ready
9.15,8.66,8.95,8.3,9.36,Highly Job Ready
8.63,6.69,7.1,6.38,8.14,Job Ready
2.7,2.67,4.12,4.94,3.65,Not Ready
6.44,6.33,5.56,6.34,5.19,Needs Improvement
7.49,8.16,7.67,7.44,6.62,Job Ready
7.57,7.14,6.69,7.55,7.02,Job Ready
5.51,5.5,6.25,5.0,6.91,Needs Improvement
6.14,5.84,7.06,7.4,6.88,Needs Improvement
6.12,4.97,5.21,4.93,4.67,Needs Improvement
9.28,9.52,9.44,9.82,8.69,Highly Job Ready
9.49,7.73,9.68,9.68,8.04,Highly Job Ready
9.85,8.66,9.77,9.22,8.1,Highly Job Ready
7.63,7.58,8.25,8.28,6.56,Job Ready
5.11,8.06,5.74,5.41,5.82,Needs Improvement
1.03,2.47,3.46,2.57,4.62,Not Ready
5.75,4.95,5.1,5.06,6.3,Needs Improvement
9.49,8.47,8.13,9.13,8.62,Highly Job Ready
8.28,5.95,7.33,6.38,7.73,Job Ready
5.42,7.18,6.16,5.0,5.15,Needs Improvement
3.31,3.2,4.73,4.08,1.76,Not Ready
7.46,6.53,5.27,7.04,5.1,Needs Improvement
9.85,8.72,9.22,10.0,9.06,Highly Job Ready
4.13,6.62,5.97,6.4,6.16,Needs Improvement
1.46,3.84,2.51,3.36,4.56,Not Ready
2.88,4.29,4.3,3.19,2.61,Not Ready
4.72,6.71,3.8,5.07,5.42,Needs Improvement
7.05,6.16,6.56,4.91,4.76,Needs Improvement
6.33,6.33,5.19,6.32,5.03,Needs Improvement
7.55,4.67,7.25,6.77,6.35,Needs Improvement
2.12,3.12,4.16,5.19,2.96,Not Ready
7.71,6.8,7.42,6.07,8.22,Job Ready
9.36,8.24,8.63,9.42,9.77,Highly Job Ready
7.76,5.88,3.78,6.38,4.94,Needs Improvement
7.65,6.1,6.25,5.14,6.49,Needs Improvement
4.76,6.2,7.38,6.1,6.33,Needs Improvement
8.16,8.14,6.58,8.15,7.26,Job Ready
9.85,8.76,8.86,9.53,8.68,Highly Job Ready
3.59,3.02,5.21,3.62,3.31,Not Ready
6.94,6.51,6.87,6.29,8.05,Job Ready
8.59,8.71,6.51,8.84,8.81,Highly Job Ready
5.91,3.57,4.23,2.09,5.17,Not Ready
9.45,9.17,9.06,7.83,9.18,Highly Job Ready
8.86,8.68,8.1,9.07,9.11,Highly Job Ready
3.82,3.81,3.69,3.05,2.09,Not Ready
7.96,6.22,6.1,8.72,7.6,Job Ready
8.27,6.24,7.08,6.51,7.07,Job Ready
6.17,6.18,5.45,5.11,7.82,Needs Improvement
9.64,9.42,7.92,9.36,9.13,Highly Job Ready
2.34,0.64,3.53,3.58,3.31,Not Ready
8.3,5.62,5.13,6.96,6.13,Job Ready
10.0,8.66,9.19,8.58,8.57,Highly Job Ready
3.07,2.46,3.99,4.64,1.97,Not Ready
4.87,5.87,4.39,3.37,2.77,Not Ready
7.95,8.26,7.8,7.86,7.74,Job Ready
7.6,7.85,7.91,6.32,6.48,Job Ready
4.05,5.16,4.78,4.0,5.91,Needs Improvement
3.38,4.19,5.79,2.67,3.52,Not Ready
8.89,8.18,8.42,9.11,9.72,Highly Job Ready
6.49,6.93,5.18,5.68,5.64,Needs Improvement
6.09,4.72,4.83,5.71,6.28,Needs Improvement
7.44,7.19,6.42,7.27,8.14,Job Ready
7.23,7.64,6.9,6.58,8.17,Job Ready
6.36,7.48,7.47,6.61,7.15,Job Ready
4.55,4.51,3.76,4.03,2.44,Not Ready
6.95,4.41,5.19,5.3,5.59,Needs Improvement
6.18,3.19,5.76,5.5,5.02,Needs Improvement
4.25,4.15,3.69,3.19,6.35,Not Ready
5.44,3.81,6.6,7.16,7.22,Needs Improvement
3.74,5.1,5.25,2.16,3.44,Not Ready
2.14,2.28,2.65,4.26,2.76,Not Ready
5.81,5.69,6.81,4.87,8.47,Needs Improvement
4.0,5.62,3.98,3.66,4.13,Not Ready
5.55,5.64,7.01,5.09,5.89,Needs Improvement
8.68,9.27,8.0,9.26,9.18,Highly Job Ready
